algorithm,size,median,tilesize
tiled,100,229,8
tiled,100,186,16
tiled,100,176,32
tiled,150,802,8
tiled,150,657,16
tiled,150,592,32
tiled,150,552,64
tiled,200,1822,8
tiled,200,1466,16
tiled,200,1383,32
tiled,200,1299,64
tiled,250,4230,8
tiled,250,3400,16
tiled,250,3060,32
tiled,250,3199,64
tiled,300,7706,8
tiled,300,5019,16
tiled,300,4667,32
tiled,300,4349,64
tiled,300,4248,128
tiled,350,10237,8
tiled,350,8107,16
tiled,350,7443,32
tiled,350,6946,64
tiled,350,6731,128
tiled,400,14752,8
tiled,400,11659,16
tiled,400,10964,32
tiled,400,10263,64
tiled,400,10027,128
tiled,450,21746,8
tiled,450,17188,16
tiled,450,16020,32
tiled,450,14772,64
tiled,450,14267,128
tiled,500,29114,8
tiled,500,23011,16
tiled,500,21397,32
tiled,500,20041,64
tiled,500,19467,128
tiled,550,39552,8
tiled,550,31417,16
tiled,550,29286,32
tiled,550,26821,64
tiled,550,26001,128
tiled,550,25927,256
tiled,600,50066,8
tiled,600,39463,16
tiled,600,36820,32
tiled,600,34483,64
tiled,600,33472,128
tiled,600,33346,256
tiled,650,65393,8
tiled,650,51304,16
tiled,650,47789,32
tiled,650,44186,64
tiled,650,42938,128
tiled,650,42343,256
tiled,700,79805,8
tiled,700,62653,16
tiled,700,58569,32
tiled,700,54693,64
tiled,700,53345,128
tiled,700,52666,256
tiled,750,101058,8
tiled,750,79539,16
tiled,750,73995,32
tiled,750,67895,64
tiled,750,65706,128
tiled,750,65289,256
tiled,800,119037,8
tiled,800,93461,16
tiled,800,87291,32
tiled,800,82252,64
tiled,800,80316,128
tiled,800,80289,256
tiled,850,146104,8
tiled,850,114880,16
tiled,850,106564,32
tiled,850,98943,64
tiled,850,96116,128
tiled,850,98604,256
tiled,900,169704,8
tiled,900,134101,16
tiled,900,125317,32
tiled,900,117648,64
tiled,900,115965,128
tiled,900,112774,256
tiled,950,204896,8
tiled,950,161301,16
tiled,950,148720,32
tiled,950,138015,64
tiled,950,134865,128
tiled,950,132772,256
tiled,1000,234288,8
tiled,1000,184717,16
tiled,1000,172647,32
tiled,1000,161525,64
tiled,1000,157789,128
tiled,1000,156980,256
tiled,1300,515795,8
tiled,1300,407543,16
tiled,1300,379175,32
tiled,1300,361204,64
tiled,1300,351581,128
tiled,1300,343946,256
tiled,1300,360766,512
tiled,1600,971655,8
tiled,1600,759361,16
tiled,1600,716404,32
tiled,1600,678775,64
tiled,1600,654763,128
tiled,1600,648165,256
tiled,1600,682288,512
tiled,1900,1649778,8
tiled,1900,1282046,16
tiled,1900,1213720,32
tiled,1900,1145276,64
tiled,1900,1099537,128
tiled,1900,1081631,256
tiled,1900,1142898,512
tiled,2200,2563583,8
tiled,2200,1993733,16
tiled,2200,1883313,32
tiled,2200,1799251,64
tiled,2200,1705899,128
tiled,2200,1675324,256
tiled,2200,1770532,512
tiled,2200,1695138,1024
tiled,2500,3814980,8
tiled,2500,2955925,16
tiled,2500,2847540,32
tiled,2500,2663435,64
tiled,2500,2498887,128
tiled,2500,2450643,256
tiled,2500,2578460,512
tiled,2500,2497831,1024
